"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
25,What material did the Romans use to build arch bridges?,Reinforced concrete,Steel,Stone masonry,Glass,15,3,,,,,,,,,,,,,,,,,,
26,Modern arch bridges incorporate what materials for greater strength?,Plastic and aluminum,Wood and straw,Rope and bamboo,Reinforced concrete and steel,20,4,,,,,,,,,,,,,,,,,,
27,What is considered the simplest form of a bridge?,The arch bridge,The suspension bridge,The cantilever bridge,The beam bridge,15,4,,,,,,,,,,,,,,,,,,
28,A beam bridge consists of a horizontal deck supported by what?,Abutments only,Piers,Cables,Towers,20,2,,,,,,,,,,,,,,,,,,
29,Why did engineers develop the truss bridge?,To save money on paint,To make it look prettier,To let boats sail over it,To overcome the limited span of a beam bridge,20,4,,,,,,,,,,,,,,,,,,
30,What shape of elements does a truss bridge use?,Triangular,Circular,Square,Hexagonal,15,1,,,,,,,,,,,,,,,,,,
31,What property makes truss bridges very effective?,Lightweight design,Exceptional rigidity,High flexibility,Invisibility,20,2,,,,,,,,,,,,,,,,,,
32,Which type of bridge is described as perhaps the most visually striking?,Truss bridge,Pontoon bridge,Beam bridge,Suspension bridge,20,4,,,,,,,,,,,,,,,,,,
33,What do massive cables drape over in a suspension bridge?,The riverbed,Abutments only,Tall towers,Adjacent buildings,20,3,,,,,,,,,,,,,,,,,,
34,In a suspension bridge what transfers the deck's weight to the massive cables?,Vertical suspenders,Stone blocks,Wooden planks,Steel beams,20,1,,,,,,,,,,,,,,,,,,
35,Where are the cables anchored in a suspension bridge?,On top of the towers,Firmly into the ground at both ends,Into the center pier,To the nearby boats,20,2,,,,,,,,,,,,,,,,,,
36,Suspension bridges are ideal for crossing what?,City streets,Small valleys,Wide waterways,Narrow streams,15,3,,,,,,,,,,,,,,,,,,
37,Which famous bridge exemplifies robust suspension engineering?,The Golden Gate Bridge,The Roman Aqueduct,The London Bridge,The Brooklyn Beam Bridge,20,1,,,,,,,,,,,,,,,,,,
38,In a cable-stayed bridge where do the cables run?,Under the water,Along the ground,Directly from the towers to the deck,From one end of the bridge to the other,20,3,,,,,,,,,,,,,,,,,,
39,What is a key advantage of cable-stayed bridges compared to suspension bridges?,They provide greater stiffness,They use no cables,They have no towers,They are much longer,20,1,,,,,,,,,,,,,,,,,,
40,Cable-stayed bridges are more economical for what type of crossings?,Ultra-long-span crossings,Medium-span crossings,Short-span crossings,Pedestrian crossings only,20,2,,,,,,,,,,,,,,,,,,
41,How does a cantilever bridge extend?,Inward from abutments,It floats on the water,Outward from central piers,It hangs completely freely,20,3,,,,,,,,,,,,,,,,,,
42,What do cantilever bridges rely on instead of external bracing?,Balloons,Counterweights,Magic,Magnetic levitation,20,2,,,,,,,,,,,,,,,,,,
43,In what situation is a cantilever bridge particularly effective?,Where temporary falsework is impractical,When aesthetics don't matter,When crossing a very shallow river,When building over flat ground,20,1,,,,,,,,,,,,,,,,,,
44,What factor determines which bridge type is chosen?,The mayor's favorite shape,Geographical conditions and required span,The weather on the day of construction,The color of the surrounding trees,20,2,,,,,,,,,,,,,,,,,,
45,Bridges are considered a testament to what?,Natural erosion,Alien technology,Human ingenuity,Animal instincts,15,3,,,,,,,,,,,,,,,,,,
46,Bridges demonstrate the enduring human desire to do what?,Connect,Fight,Hide,Sleep,15,1,,,,,,,,,,,,,,,,,,
47,What does the evolution of bridge design reflect?,A lack of creativity over time,Advancements in materials and techniques,The refusal to use new ideas,The fear of crossing water,20,2,,,,,,,,,,,,,,,,,,
48,To what do suspension cables transfer their massive load at the endpoints?,The ground anchorages,The vehicles,The road deck,The vertical suspenders,20,1,,,,,,,,,,,,,,,,,,
49,Which word best describes a truss structure?,Invisible,Rigid,Flexible,Bendy,15,2,,,,,,,,,,,,,,,,,,
50,What is the primary function of an abutment?,It holds up the suspension cables,It measures the water level,It receives weight distributed by the arch,It stops cars from driving too fast,20,3,,,,,,,,,,,,,,,,,,
